Date,Time,Headlines,Description,Company,Ticker,headlines_polarity,description_polarity,Final_sentiment
2023-11-07,19:52:00,Cramer's Lightning Round: Cisco is a buy,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Cisco,CSCO,-0.2,-0.4125,1
2023-06-15,19:33:00,Cramer's Lightning Round: Microsoft is a winner,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Microsoft,MSFT,-0.2,-0.4125,1
2023-06-12,20:31:00,Cramer's Lightning Round: Teradyne is a buy,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Teradyne,TER,-0.2,-0.4125,1
2023-01-20,19:37:00,Cramer's lightning round: I like Juniper Networks,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Juniper Networks,JNPR,-0.2,-0.4125,1
2022-12-15,19:39:00,Cramer's lightning round: You can pick up some shares of IBM on Friday,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",IBM,IBM,-0.2,-0.4125,1
2022-11-28,19:30:00,Cramer's lightning round: Enphase Energy is a buy,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Enphase,ENPH,-0.2,-0.4125,1
2022-11-03,19:13:00,Cramer's lightning round: I'm sticking with Nvidia,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Nvidia,NVDA,-0.2,-0.4125,1
2022-10-04,19:12:00,Cramer's lightning round: Cisco is going to snap back big,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Cisco,CSCO,-0.06666666666666667,-0.4125,1
2022-07-14,19:45:00,Cramer's lightning round: I wouldn't mind buying Microchip Technology down here,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Microchip Technology,MCHP,-0.1777777777777778,-0.4125,1
2022-06-15,19:53:00,Cramer's lightning round: Applied Materials is a buy,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Applied Materials,AMAT,-0.2,-0.4125,1
2022-06-03,19:46:00,Cramer's lightning round: I like Lam Research over Taiwan Semiconductor,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Lam Research,LRCX,-0.2,-0.4125,1
2022-04-22,10:40:00,"Jim Cramer breaks down shares of Netflix, Snap, Nvidia and more","CNBC's Jim Cramer and the 'Squawk on the Street' team discuss shares of Snap, Netflix, Lululemon and more following the opening bell on Friday.",Nvidia,NVDA,0.17222222222222222,0.25,1
2021-12-08,19:16:00,Cramer's lightning round: I like Enphase Energy over EVgo,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Enphase,ENPH,-0.2,-0.4125,1
2021-11-23,21:10:00,Cramer's lightning round: Only autonomous vehicle play I think about is Nvidia,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Nvidia,NVDA,0.06666666666666667,-0.4125,1
2021-10-27,19:48:00,Cramer's lightning round: Amphenol Corp. is a buy,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Amphenol,APH,-0.2,-0.4125,1
2021-10-18,19:15:00,Cramer's lightning round: I prefer Intuit over Mogo,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Intuit,INTU,-0.2,-0.4125,1
2021-10-11,20:04:00,"Jim Cramer says Lam Research may be a 'powerful, long-term American industrial investment'",Generic Mad Money Contemplate,Lam Research,LRCX,0.15,-0.3125,1
2021-10-05,19:30:00,"Cramer says investors have a 'huge buying opportunity' in Microsoft, but be cautious with Facebook",Generic Mad Money Contemplate,Microsoft,MSFT,0.4000000000000001,-0.3125,1
2021-09-27,20:19:00,"Cramer sees opportunity to buy 'best of breed' tech giants Apple, Amazon and Salesforce",Generic Mad Money Contemplate,Salesforce,CRM,1.0,-0.3125,1
2021-09-21,19:42:00,"Facebook's actions have cost all of us, says Salesforce's Benioff",Generic Mad Money Contemplate,Salesforce,CRM,0.0,-0.3125,1
2021-09-21,18:54:00,"Charts suggest IBM shares may be poised for a rally this fall, says Jim Cramer",Generic Mad Money Contemplate,IBM,IBM,0.0,-0.3125,0
2021-08-25,19:08:00,Salesforce's Marc Benioff says CEOs have been surprised by employees' desire to work remotely,Generic Mad Money Contemplate,Salesforce,CRM,0.0,-0.3125,1
